City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Yerofey Pavlovich,RU,75.49,clear sky,53.9667,121.9667,lounges and warm parking
371,Katsuura,JP,84.74,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
372,Usinsk,RU,70.92,broken clouds,65.9939,57.5281,Dobro Pozhalovaty
374,Aksay,RU,70.02,few clouds,47.26,39.87,Chernaya Zhemchuzhina
376,Lebanon,US,77.13,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
377,Leona Vicario,MX,84.07,scattered clouds,20.9667,-87.1917,Don Ros Cabañas y Restaurante
378,Ismailia,EG,75.61,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
379,Dosso,NE,78.06,light rain,13.049,3.1937,Hotel Toubal
381,Goure,NE,77.02,overcast clouds,13.9835,10.2704,
382,Mingshui,CN,84.06,broken clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
383,Kuala Lipis,MY,85.35,scattered clouds,4.1842,102.0468,Lipis Centrepoint Hotel
384,Englewood,US,70.65,broken clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
386,Cherkasskoye,RU,72.21,clear sky,52.4333,47.2167,
388,Tura,IN,81.23,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
389,Fallon,US,94.44,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
391,Mae Sai,TH,89.17,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
392,Jeremie,HT,78.87,few clouds,18.65,-74.1167,Auberge’Inn
394,Meulaboh,ID,74.88,light rain,4.1363,96.1285,Kost Pria
396,Novouzensk,RU,77.74,clear sky,50.4592,48.1431,Gostinichnyy Domik
398,Vanino,RU,76.24,overcast clouds,49.0869,140.2543,Гостиница 5 Звезд
399,Dingle,PH,82.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
402,Emba,KZ,74.43,scattered clouds,48.8264,58.1442,
403,Sun City West,US,86.99,overcast clouds,33.662,-112.3413,Windmill All Suites Surprise
406,Mukhen,RU,89.65,overcast clouds,48.1,136.1,
410,Aquiraz,BR,79.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
415,Siderno,IT,76.33,clear sky,38.2779,16.302,Grand Hotel President
420,Katherine,AU,84.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
421,Yeppoon,AU,71.38,scattered clouds,-23.1333,150.7333,Villa Mar Colina
422,Novyy Urengoy,RU,70.79,broken clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
423,Kavaratti,IN,81.43,overcast clouds,10.5669,72.642,Green leaf
424,East Stroudsburg,US,75.22,broken clouds,40.9995,-75.1813,Hampton Inn Stroudsburg/Poconos
425,Palmer,US,74.82,overcast clouds,42.1584,-72.3287,Wedgewood Motel
426,Kidal,ML,77.41,overcast clouds,18.4411,1.4078,
427,Great Falls,US,80.69,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
429,Seminole,US,84.56,clear sky,28.7086,-81.2081,The Oviedo Lodge Motel
430,Wad Madani,SD,77.68,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
434,Tabuk,PH,87.15,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
435,Cockburn Town,TC,81.64,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
436,Broome,US,70.0,clear sky,42.2506,-75.833,Chenango Valley State Park
438,Padang,ID,71.65,overcast clouds,-0.9492,100.3543,Mercure Padang
439,Kuala Terengganu,MY,85.95,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
440,Bosaso,SO,90.63,clear sky,11.2842,49.1816,Red Sea Hotel
441,Touros,BR,75.09,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
442,Phan Thiet,VN,92.03,broken clouds,10.9333,108.1,Hotel Saigon-PT
443,Portland,US,93.78,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
448,Campbell River,CA,81.93,clear sky,50.0163,-125.2446,Anchor Inn & Suites
454,Ketchikan,US,70.27,clear sky,55.3422,-131.6461,Snow's Cove Lodge
455,San Angelo,US,93.42,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
457,Agadez,NE,84.36,overcast clouds,19.75,10.25,
460,Eydhafushi,MV,81.0,overcast clouds,5.1033,73.0708,Soneva Fushi
462,Son Tay,VN,87.73,overcast clouds,21.1378,105.505,Khách Sạn Đông Thành
466,Nioro,GM,77.99,light rain,13.35,-15.75,
468,Udachnyy,RU,82.45,few clouds,66.4167,112.4,Severnoye Siyaniye
471,Temir,KZ,74.28,broken clouds,49.1414,57.13,
472,Jiuquan,CN,88.9,few clouds,39.7432,98.5174,Jiuquan Hotel
473,Linxia,CN,78.76,few clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
475,Pulsano,IT,80.49,clear sky,40.3821,17.3564,Gabbiano Hotel
477,Jatiroto,ID,84.54,broken clouds,-7.8833,111.1167,Mushola Al Huda
481,Atasu,KZ,74.59,broken clouds,48.6814,71.6433,Dostyk
482,Powell River,CA,86.02,clear sky,49.8496,-124.5361,Rodmay Hotel
483,Kuching,MY,86.22,scattered clouds,1.55,110.3333,Hilton Kuching
485,Khandyga,RU,86.86,few clouds,62.6667,135.6,Apel'sin
486,Khorramshahr,IR,91.36,scattered clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
488,Iwanai,JP,79.81,broken clouds,42.9744,140.5089,いわない高原ホテル
489,Maiduguri,NG,75.61,scattered clouds,11.8464,13.1603,Kagel Mari Police Station
494,Huai Thalaeng,TH,88.16,scattered clouds,14.997,102.6475,รีสอร์ทฟิวแอนทิว
495,Mandalgovi,MN,75.58,few clouds,45.7625,106.2708,В.Ганбат
496,Rio Tuba,PH,85.23,broken clouds,8.5061,117.4317,Triple J Lodging House
497,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
499,Ramanuj Ganj,IN,87.91,light rain,23.8,83.7,HOTEL SAI SIDDHI
501,Itarema,BR,76.69,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
504,Micheweni,TZ,73.33,scattered clouds,-4.9667,39.8333,
506,Balykshi,KZ,73.4,clear sky,47.0667,51.8667,Гостиница Golden Rose
507,Boke,GN,74.03,light rain,10.9409,-14.2967,Hôtel Rio Nunez - Boké
510,Aksu,CN,89.08,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
511,Garwa,IN,90.1,broken clouds,24.1833,83.8167,A.PS.D Utsav Garden
512,Puerto Madero,MX,75.4,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
514,Shilka,RU,71.76,overcast clouds,51.85,116.0333,Ip Akinina Yu.a.
515,Nouakchott,MR,76.95,broken clouds,18.0858,-15.9785,HOTEL IMAN
516,Latung,PH,83.26,overcast clouds,5.5,120.8833,
517,Erenhot,CN,90.84,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
519,Yinchuan,CN,91.09,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
520,Goderich,CA,71.91,few clouds,43.7501,-81.7165,Harmony Inn
521,Eirunepe,BR,73.24,scattered clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
523,Robertsport,LR,75.87,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
528,Soverato,IT,77.16,clear sky,38.685,16.5499,Hotel San Domenico
532,Akyab,MM,86.29,scattered clouds,20.15,92.9,Hotel Memory
535,Nara,JP,94.96,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
536,Shingu,JP,85.48,scattered clouds,33.7333,135.9833,Shingu UI Hotel
539,Dubrovnik,HR,80.24,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
541,Mozarlandia,BR,70.11,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
542,Taldan,RU,79.83,broken clouds,53.6667,124.8,
543,Viking,CA,73.53,clear sky,53.1001,-111.7684,Viking Lamplighter Motel
544,Kamenka,RU,71.87,overcast clouds,51.3223,42.7678,
545,Bontang,ID,82.63,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
546,Arsenyev,RU,87.98,overcast clouds,44.1631,133.2733,ArsHostel on Kalininskaya 18
547,Pimenta Bueno,BR,70.93,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
548,La Marque,US,86.05,clear sky,29.3686,-94.9713,Crystal Suites
549,Freeport,US,83.97,broken clouds,40.6576,-73.5832,The Freeport Inn and Marina
552,Sungaipenuh,ID,74.48,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
555,Tsnori,GE,78.98,broken clouds,41.6209,45.9694,Kabadoni
557,Kenai,US,74.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
558,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
559,Laguna,US,86.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
560,Matay,EG,78.71,scattered clouds,28.419,30.7792,Nag Aespen
562,Hamilton,US,79.57,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
564,Syracuse,IT,76.59,clear sky,37.0881,15.2792,Hotel Posta
567,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
568,Ligayan,PH,83.34,moderate rain,4.6533,119.4706,
569,Amaigbo,NG,70.75,overcast clouds,5.7892,7.8383,IKEMBA GUEST HOUSE
573,Balabac,PH,86.16,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
574,Nichinan,JP,83.88,broken clouds,31.6,131.3667,Guest House Aki
575,Brazzaville,CG,70.11,scattered clouds,-4.2658,15.2832,Hotel Muesse
576,Amahai,ID,79.18,broken clouds,-3.3333,128.9167,HOTEL ISABELA
577,Hobyo,SO,76.41,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
579,Methoni,GR,77.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
580,Changping,CN,83.84,clear sky,40.2186,116.2197,Huachang Hotel
583,Ryotsu,JP,82.71,few clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
584,Filingue,NE,75.87,light rain,14.3521,3.3168,
586,Carora,VE,75.27,overcast clouds,10.1755,-70.0827,Hotel Irpinia
587,Sibu,MY,86.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
589,Nadym,RU,73.24,overcast clouds,65.5333,72.5167,Apartment on Zvereva
590,Kassala,SD,73.76,overcast clouds,15.451,36.4,Amassi Hotel Gash
592,Atar,MR,86.65,few clouds,20.5169,-13.0499,Oumou Elghoura
593,Gizo,SB,84.0,overcast clouds,-8.103,156.8419,Imagination Island
594,Luchegorsk,RU,83.62,overcast clouds,46.4764,134.2569,Mirazh
595,Noumea,NC,75.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
596,Avera,US,80.11,overcast clouds,33.194,-82.5271,
599,Sovetskiy,RU,71.71,clear sky,61.3614,63.5842,Apartment on Kievskaya 29
