City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Filingue,NE,2022-07-23 22:15:13,14.3521,3.3168,85.73,50,99,17.27
221,Najran,SA,2022-07-23 22:15:13,17.4924,44.1277,83.05,62,87,14.29
222,Zhigansk,RU,2022-07-23 22:15:13,66.7697,123.3711,55.8,78,45,8.21
223,Hambantota,LK,2022-07-23 22:15:14,6.1241,81.1185,79.09,80,91,18.68
224,Vikhorevka,RU,2022-07-23 22:15:14,56.1201,101.1636,54.99,98,46,4.21
225,Trairi,BR,2022-07-23 22:11:53,-3.2778,-39.2689,79.07,75,34,12.64
226,Magistralnyy,RU,2022-07-23 22:16:14,56.1725,107.4458,58.95,95,100,1.39
227,Dwarka,IN,2022-07-23 22:16:15,22.2394,68.9678,81.73,83,100,21.92
228,Hovd,MN,2022-07-23 22:16:15,48.0056,91.6419,58.3,50,5,2.68
229,Kruisfontein,ZA,2022-07-23 22:16:16,-34.0033,24.7314,49.89,81,42,18.23
230,Constitucion,CL,2022-07-23 22:16:16,-35.3333,-72.4167,54.64,87,100,2.35
231,Marsala,IT,2022-07-23 22:16:16,37.7966,12.4352,84.94,78,0,3.44
232,Moerai,PF,2022-07-23 22:16:17,-22.4333,-151.3333,74.59,83,98,21.97
233,Quime,BO,2022-07-23 22:16:17,-16.9833,-67.2167,53.8,52,0,4.65
234,Chapais,CA,2022-07-23 22:12:26,49.7834,-74.8492,66.52,68,71,8.41
235,Trelleborg,SE,2022-07-23 22:16:18,55.3751,13.1569,59.99,89,100,17.11
236,Sinnamary,GF,2022-07-23 22:16:18,5.3833,-52.95,79.59,82,99,8.21
237,Basco,PH,2022-07-23 22:16:18,20.4487,121.9702,84.36,75,99,7.45
238,Bonthe,SL,2022-07-23 22:16:19,7.5264,-12.505,77.18,78,100,8.99
239,Fort Atkinson,US,2022-07-23 22:16:19,42.9289,-88.8371,84.42,72,37,3.0
240,Hithadhoo,MV,2022-07-23 22:12:00,-0.6,73.0833,81.27,73,100,5.44
241,Kabompo,ZM,2022-07-23 22:16:19,-13.5927,24.2008,60.17,39,22,6.62
242,Haimen,CN,2022-07-23 22:16:20,23.1935,116.6142,82.29,90,47,6.64
243,Wahpeton,US,2022-07-23 22:16:20,46.2652,-96.6059,83.12,57,0,0.0
244,Touros,BR,2022-07-23 22:16:20,-5.1989,-35.4608,76.69,83,51,16.06
245,Bathsheba,BB,2022-07-23 22:13:12,13.2167,-59.5167,83.01,82,20,16.11
246,Qasigiannguit,GL,2022-07-23 22:16:21,68.8193,-51.1922,41.18,97,100,2.93
247,Ust-Kulom,RU,2022-07-23 22:16:21,61.6864,53.6902,57.74,95,7,3.71
248,Olafsvik,IS,2022-07-23 22:16:22,64.8945,-23.7142,51.8,84,46,8.99
249,Atar,MR,2022-07-23 22:14:04,20.5169,-13.0499,81.36,69,100,9.95
250,Srednekolymsk,RU,2022-07-23 22:16:22,67.45,153.6833,62.26,36,1,13.33
251,Khandyga,RU,2022-07-23 22:12:16,62.6667,135.6,66.96,86,4,3.13
252,Pisco,PE,2022-07-23 22:11:58,-13.7,-76.2167,60.85,88,100,5.75
253,Pontes E Lacerda,BR,2022-07-23 22:13:58,-15.2261,-59.3353,82.13,32,3,2.93
254,Puerto El Triunfo,SV,2022-07-23 22:16:23,13.2833,-88.55,92.26,72,82,7.09
255,Chernyshevskiy,RU,2022-07-23 22:11:40,63.0128,112.4714,64.11,90,8,11.92
256,Staraya Toropa,RU,2022-07-23 22:16:23,56.2801,31.6702,63.7,96,98,4.56
